query_id	query	query_class
0	salon chair	Massage Chairs
1	smart coffee table	Coffee & Cocktail Tables
2	dinosaur	Kids Wall Décor
3	turquoise pillows	Accent Pillows
4	chair and a half recliner	Recliners
5	sofa with ottoman	Sectionals
6	acrylic clear chair	Dining Chairs
7	driftwood mirror	Wall & Accent Mirrors
8	home sweet home sign	Wall Décor
9	coffee table fire pit	Outdoor Fireplaces
10	king poster bed	Beds
11	ombre rug	Area Rugs
12	large spoon and fork wall decor	Wall Décor
13	outdoor privacy wall	Fencing & Accessories
14	beds that have leds	Beds
15	black 5 drawer dresser by guilford	Dressers & Chests
16	blk 18x18 seat cushions	Furniture Cushions
17	closet storage with zipper	Storage Drawers
18	chrome bathroom 4 light vanity light	Vanity Lighting
19	gurney  slade 56	Chandeliers
20	foutains with brick look	Wallpaper
21	living curtains pearl	Curtains & Drapes
22	light and navy blue decorative pillow	Accent Pillows
23	stoneford end tables white and wood	End Tables
24	wood coffee table set by storage	Living Room Table Sets
25	sunflower	Wall Art
26	leather chairs	Accent Chairs
27	outdoor welcome rug	Door Mats
28	rooster decor	Decorative Objects
29	bathroom vanity knobs	Cabinet and Drawer Knobs
30	3 1/2 inch drawer pull	Cabinet and Drawer Pulls
31	burnt orange curtains	Curtains & Drapes
32	dark gray dresser	Dressers & Chests
33	non slip shower floor tile	Floor & Wall Tile
34	bar stool with backrest	Bar Stools
35	enclosed shoe rack	Shoe Storage
36	laundry basket with wheels	Hampers & Baskets
37	bar stool 24 inches height	Bar Stools
38	calvin patio chair	Patio Lounge Chairs
39	door jewelry organizer	Jewelry Armoires
40	elegant executive chair	Office Chairs
41	closet pull out valet rod	Closet Organizer Accessories
42	toddler couch fold out	Kids Chairs
43	solid teak end table	End Tables
44	chrome shower head and valve	Shower Faucets & Systems
45	70s inspired furniture	Wall Art
46	beach blue headboard	Headboards
47	porcelain loaf pan	Bread & Loaf Pans
48	arwen table lamp	Table Lamps
49	moen matte black hooks	Towel & Robe Hooks
50	tufted chair with gold legs	Accent Chairs
51	kohen 5 drawer dresser	Dressers & Chests
52	westling coffee table	Coffee & Cocktail Tables
53	carolyn console table	Sofa & Console Tables
54	wayfair sleep zippered	Mattress Covers and Protectors
55	tollette teal outdoor rug	Area Rugs
56	royal blue counter height chairs	Bar Stools
57	jordanna solid wood rocking	Patio Rockers & Gliders
58	medium size chandelier	Chandeliers
59	broadway lever	Door Levers
60	capricorn chest	Dressers & Chests
61	overstreet rustic pub stools	Bar Stools
62	7qt slow cooker	Crock Pots & Slow Cookers
63	monthly calendar	Memo Boards
64	zachary 72.5	Bookcases
65	gnome fairy garden	Garden Accents
66	novara pergola	Pergolas
67	osgood mirror	Wall & Accent Mirrors
68	nautical platters	Serving Dishes & Platters
69	wall sconce with usb port	Wall Sconces
70	annex dresser	Dressers & Chests
71	infant girl crib bedding	Crib Bedding Sets
72	fold in half table	Folding Tables
73	certified international melamine	Plates & Saucers
74	serta kleinmon	Innerspring Mattresses
75	sheffield home bath set	Bath Rugs & Mats
76	46 inch closet door	Interior Doors
77	sancroft armchair	Accent Chairs
78	dorel vanity	Vanities
79	palram harmony greenhouses	Awnings
80	7 draw white dresser	Dressers & Chests
81	orren ellis l shape desk	Desks
82	bathroom vanity with counter space	Vanities
83	wall art fiji	Wall Art
84	full metal bed rose gold	Beds
85	3/4 size mattress	Foam and Latex Mattresses
86	aloe vera plant pot	Faux Plants and Trees
87	vlad modular sectional	Sectionals
88	rose gold lounge	Indoor Chaise Lounges
89	whimsical solar lights	Landscape Lighting
90	filaret outdoor sofa	Patio Sofas
91	industrial pipe dining  table	Dining Tables
92	antique silver entry table	Sofa & Console Tables
93	outdoor sectional dining	Patio Sofas
94	kohler whitehaven farmhouse kitchen sink	Kitchen Sinks
95	entertainment stand end table	TV Stands & Entertainment Centers
96	bar room wall decor	Wall Décor
97	regner power loom red	Area Rugs
98	gracie oaks 62 oller 14 ceiling fan	Ceiling Fans
99	arched christmas tree	Christmas Trees
100	tufted upholstered bed diamond	Beds
101	48 in entry table with side by side drawer	Sofa & Console Tables
102	flamingo	Garden Statues
103	kitchen anti fatigue mats	Kitchen Mats
104	flour and sugar containers	Canisters & Jars
105	outdoor movie screen	Projector Screens
106	bed risers	Bed Accessories
107	front porch furniture sets	Outdoor Conversation Sets
108	ayesha curry kitchen	Cookware Sets
109	hillsby oriental rug	Area Rugs
110	mila task chair	Office Chairs
111	delta trinsic	Bathroom Sink Faucets
112	pineapple	Decorative Objects
113	led light strip	Under Cabinet Lighting
114	geralyn upholstered storage platform bed	Beds
115	peacock	Wall Art
116	brockham solid blackout thermal grommet curtain panels	Curtains & Drapes
117	tall storage cabinet	Office Storage Cabinets
118	body pillow case	Sheets And Sheet Sets
119	welcome sign	Outdoor Wall Decor
120	zodiac pillow	Accent Pillows
121	upholstered bed	Beds
122	king size bed	Beds
123	entrance table	Sofa & Console Tables
124	unique coffee tables	Coffee & Cocktail Tables
125	boho bed frame	Bed Frames
126	leather dining chairs	Dining Chairs
127	wine bar	Bars & Bar Sets
128	block coffee table	Coffee & Cocktail Tables
129	wainscoting ideas	Molding & Millwork
